agente_nombre,n_ofertas,tasa_adj_%,precio_prom,precio_min,precio_max,horizonte_dias_prom
ISAGEN S.A. E.S.P.,240,35.0,285.06,280.85,306.79,29.25
ENEL COLOMBIA S.A E.S.P.,180,7.0,300.65,245.92,321.2,28.6
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO S.A. E.S.P.,180,0.0,405.0,380.0,430.0,41.0
CELSIA COLOMBIA S.A. E.S.P.,156,0.0,264.87,253.6,327.0,34.62
ESPACIO PRODUCTIVO S.A.S. E.S.P.,132,0.0,304.82,289.0,383.0,15.36
IA ENERGÍA Y GESTIÓN S.A.S. E.S.P.,120,0.0,294.43,272.57,369.9,16.5
NITRO ENERGY COLOMBIA S.A.S. E.S.P.,120,100.0,333.67,290.78,385.0,64.8
EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,108,89.0,287.86,273.51,378.0,35.44
ENERGIA Y GAS DE COLOMBIA SAS ESP,57,100.0,431.07,390.0,494.1,16.0
TERMOTASAJERO S.A. E.S.P.,48,50.0,325.94,315.9,336.98,130.0
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,34,35.0,391.47,365.0,485.0,371.68
GENERARCO S.A.S. E.S.P.,28,0.0,355.14,328.0,398.0,54.86
ZONERGY SAS ESP,24,50.0,326.52,323.5,329.54,63.0
BTG PACTUAL COMERCIALIZADORA DE ENERGÍA S.A.S. E.S.P,24,0.0,384.97,379.97,389.97,77.0
PROENERGY S.A.S.E.S.P.,24,0.0,395.39,392.89,397.89,44.0
DEPI ENERGY S.A.S. E.S.P.,24,0.0,384.94,369.9,399.98,362.5
COENERSA S.A.S. E.S.P.,24,0.0,390.0,350.0,430.0,44.0
TERMOTASAJERO DOS S.A. E.S.P. ,24,0.0,406.98,404.48,409.48,681.0
ERCO GENERACION S.A.S. ESP,13,100.0,339.38,320.0,342.0,28.0
ENERXIA COLOMBIA SAS ESP - COMERCIALIZADOR,12,0.0,365.0,365.0,365.0,169.0
COMPANIA ENERGETICA DE OCCIDENTE S.A.S. E.S.P.,12,0.0,398.45,398.45,398.45,44.0
SANTA FE ENERGY ZOMAC S.A.S. E.S.P.,12,100.0,339.9,339.9,339.9,77.0
RUITOQUE S.A. E.S.P.,12,100.0,330.0,330.0,330.0,77.0
VACHE S.A.S E.S.P.,12,0.0,340.17,316.0,374.0,48.0
DUCK ENERGY S.A.S. ESP,7,0.0,370.0,370.0,370.0,112.0
