fecha,ipp
2022-07-01,171.40
2022-08-01,170.53
2022-09-01,171.26
2022-10-01,174.12
2022-11-01,177.36
2022-12-01,176.17
2023-01-01,178.76
2023-02-01,181.43
2023-03-01,181.36
2023-04-01,179.17
2023-05-01,177.70
2023-06-01,174.91
2023-07-01,173.52
2023-08-01,175.99
2023-09-01,177.12
2023-10-01,178.20
2023-11-01,176.20
2023-12-01,174.58
2024-01-01,175.64
2024-02-01,177.35
2024-03-01,177.30
2024-04-01,177.97
2024-05-01,177.66
2024-06-01,178.94
2024-07-01,179.30
2024-08-01,177.83
2024-09-01,179.48
2024-10-01,180.49
2024-11-01,182.95
2024-12-01,184.52
2025-01-01,185.53
2025-02-01,185.82
2025-03-01,185.65
2025-04-01,185.83
2025-05-01,183.77
2025-06-01,182.59
2025-07-01,183.70
2025-08-01,184.71
2025-09-01,185.47
2025-10-01,184.37
2025-11-01,182.00
2025-12-01,181.10
2026-01-01,183.01
2026-02-01,184.17
2026-03-01,187.17
2026-04-01,188.67
