audiencia_id,fecha_audiencia,comprador,mercado,n_productos,fecha_inicio,fecha_fin,cantidad_total_kwh,cantidad_total_gwh,horizonte_meses,fecha_audiencia_res,fecha_limite_oferta,adjudicatario,precio_adj_prom,precio_adj_min,precio_adj_max,cantidad_adj_gwh,n_oferentes,oferentes_lista,cobertura_pct,dias_proceso,pb_dia,pb_prom_30d,pb_min_30d,pb_max_30d,pb_std_30d,pb_trend_30d,pb_prom_60d,pb_min_60d,pb_max_60d,pb_std_60d,pb_trend_60d,pb_prom_90d,pb_min_90d,pb_max_90d,pb_std_90d,pb_trend_90d,pb_relativa_90d,pb_tendencia,spread_vs_pb_dia,spread_vs_pb_30d,spread_vs_pb_90d,mes_audiencia,año_audiencia
CP-BIAC2022-001,2022-09-23,BIAE,Regulado,4,2022-01-11,2027-12-31,434.54994,0.000435,73,2022-09-23,2022-09-13,Dclc,297.0,278.0,312.0,306.802922004,2.0,"Dclc, Epm",70529407.4,0.0,226.6025,259.04,137.37,434.02,68.23,1.0155,187.52,104.62,434.02,88.04,3.7604,161.11,101.36,434.02,81.3,2.3114,1.4065,estable,70.3975,37.96,135.89,9.0,2022.0
CP-BIAC2022-002,2022-12-23,BIAE,Regulado,3,2023-01-02,2038-12-31,1023.9295529999999,0.001024,195,2022-12-23,2022-12-12,Enermás,266.02614525139666,248.9,335.0,695.76629,2.0,"Enermás, Termotasajero",67945926.8,0.0,419.1137,279.55,173.02,419.11,55.71,3.4953,231.13,111.51,419.11,72.24,2.3688,253.23,111.51,500.69,79.39,-0.052,1.6551,subiendo,-153.0876,-13.5239,12.7961,12.0,2022.0
CP-BIAC2023-001,2023-04-05,BIAE,Regulado,3,2023-01-05,2025-12-31,170.556048,0.000171,36,2023-04-05,2023-03-23,Esprod,313.5,313.5,313.5,18.998683200000002,2.0,"Aes, Esprod",11110341.1,0.0,144.2343,247.92,144.23,501.9,107.84,-8.6954,364.85,144.23,799.9,167.79,-8.444,373.25,144.23,799.9,171.1,-2.667,0.3864,bajando,169.2657,65.58,-59.75,4.0,2023.0
CP-BIAC2023-002,2023-04-21,BIAE,Regulado,2,2026-01-01,2038-12-31,1253.472,0.001253,158,,,,,,,,,,,,319.6271,209.64,133.08,341.56,69.34,1.0666,270.24,133.08,501.9,106.53,-3.7188,351.8,133.08,799.9,176.49,-4.4099,0.9085,estable,,,,4.0,2023.0
CP-BIAC2023-003,2023-06-23,BIAE,Regulado,3,2023-01-08,2025-12-31,424245600.0,424.2456,36,2023-06-23,2023-06-08,Termotasajero,365.98,336.98,396.98,175.44,1.0,Termotasajero,41.4,0.0,846.8459,443.17,206.99,846.85,185.27,2.7653,473.83,186.79,846.85,214.98,1.8249,385.56,133.08,846.85,219.78,4.6468,2.1964,subiendo,-480.8659,-77.19,-19.58,6.0,2023.0
CP-BIAC2023-004,2023-08-05,BIAE,Regulado,2,2023-01-09,2024-12-31,163.710152,0.000164,24,2023-08-05,2023-07-25,Esprod,309.465,309.09,309.59,96.1171553232,1.0,Esprod,58608021.5,0.0,464.1196,517.09,343.92,667.24,80.03,-2.2226,513.35,281.57,888.33,132.99,1.3714,534.86,206.99,888.33,164.81,-0.9457,0.8677,bajando,-154.6546,-207.625,-225.395,8.0,2023.0
CP-BIAC2023-006,2023-10-27,BIAE,Regulado,1,2023-01-12,2025-12-31,292.608,0.000293,36,2023-10-27,2023-10-17,Nitroenergy,376.9764,356.13,444.0,152.78430937535998,1.0,Nitroenergy,52144815.5,0.0,671.8532,1085.69,671.85,1420.87,161.53,2.7726,1025.12,362.57,1420.87,171.47,4.9298,856.61,182.24,1420.87,296.58,8.6493,0.7843,subiendo,-294.8768,-708.7136,-479.6336,10.0,2023.0
CP-BIAC2023-007,2023-12-29,BIAE,Regulado,3,2024-01-02,2038-12-31,2630.28,0.00263,183,2023-12-29,2023-12-15,Nmrg,395.8978571428571,329.9,546.19,330.75,5.0,"Aes, Btg, Isagen, Nmrg, Zonc",12576045.6,0.0,332.991,683.96,332.99,945.62,187.46,-12.8869,590.82,300.07,945.62,188.77,2.921,741.36,300.07,1420.87,296.4,-5.991,0.4492,bajando,62.9069,-288.0621,-345.4621,12.0,2023.0
CP-BIAC2024-001,2024-06-13,BIAE,Regulado,4,2025-01-01,2029-12-31,517.75,0.000518,61,2024-06-13,2024-05-29,Epm,315.64000000000004,310.3,320.98,71.9184,1.0,Epm,13883861.0,0.0,360.1406,320.64,196.21,472.26,80.42,2.3624,379.98,106.82,1096.66,259.76,-6.3737,521.1,106.82,1234.52,311.95,-7.5824,0.6911,subiendo,-44.5006,-5.0,-205.46,6.0,2024.0
CP-BIAC2024-002,2024-12-11,BIAE,Regulado,3,2025-01-01,2037-12-31,273.12,0.000273,158,,,,,,,,,,,,875.8815,693.44,225.83,980.16,162.51,1.3003,1187.17,225.83,2459.14,616.89,-23.5395,1216.24,225.83,7235.16,825.73,-7.2213,0.7202,estable,,,,12.0,2024.0
