audiencia_id,fecha_audiencia,fecha_limite_oferta,vigencia_inicio,vigencia_fin,tipo_mercado,agente_codigo,agente_iniciales,agente_nombre,cantidad_ofertada,precio_oferta,pct_adjudicado,adjudicada,tipo_curva
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,DEPG,DEP,DEPI ENERGY S.A.S. E.S.P.,3.72,399.98,0.0,false,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,DEPG,DEP,DEPI ENERGY S.A.S. E.S.P.,3.72,399.98,0.0,false,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,DEPG,DEP,DEPI ENERGY S.A.S. E.S.P.,3.36,399.98,0.0,false,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,DEPG,DEP,DEPI ENERGY S.A.S. E.S.P.,3.72,399.98,0.0,false,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,DEPG,DEP,DEPI ENERGY S.A.S. E.S.P.,3.6,399.98,0.0,false,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,DEPG,DEP,DEPI ENERGY S.A.S. E.S.P.,3.72,399.98,0.0,false,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,DEPG,DEP,DEPI ENERGY S.A.S. E.S.P.,3.6,399.98,0.0,false,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,DEPG,DEP,DEPI ENERGY S.A.S. E.S.P.,3.72,399.98,0.0,false,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,DEPG,DEP,DEPI ENERGY S.A.S. E.S.P.,3.72,399.98,0.0,false,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,DEPG,DEP,DEPI ENERGY S.A.S. E.S.P.,3.6,399.98,0.0,false,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,DEPG,DEP,DEPI ENERGY S.A.S. E.S.P.,3.72,399.98,0.0,false,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,DEPG,DEP,DEPI ENERGY S.A.S. E.S.P.,3.6,399.98,0.0,false,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,EPTG,EPTG,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,0.98,375.0,100.0,true,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,EPTG,EPTG,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,1.01,375.0,100.0,true,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,EPTG,EPTG,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,0.98,375.0,100.0,true,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,EPTG,EPTG,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,1.01,375.0,100.0,true,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,EPTG,EPTG,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,0.98,375.0,100.0,true,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,EPTG,EPTG,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,1.01,375.0,100.0,true,PLANO
CP-CEOC2026-001,2026-02-19,2026-02-06,2028-01-01,2028-12-31,,EPTG,EPTG,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,1.01,375.0,100.0,true,PLANO
