fecha,pb_prom_kwh,pb_min_kwh,pb_max_kwh
2022-01-01,195.0476525903666,183.5484859237,224.5684859237
2022-01-02,194.6711845417333,145.7167262084,257.7167262084
2022-01-03,203.0426724592334,97.8924641259,244.1654641259
2022-01-04,159.50911812343327,98.0507847901,224.0507847901
2022-01-05,171.86723060223335,114.6213972689,206.1213972689
2022-01-06,191.5475574117999,181.3975574118,200.4975574118
2022-01-07,197.31495048643328,183.5816171531,208.8416171531
2022-01-08,203.69891666893332,201.0830833356,209.3430833356
2022-01-09,199.19403416606664,175.0273674994,205.0273674994
2022-01-10,203.02327126160006,200.1287712616,203.6547712616
2022-01-11,245.77976520520005,213.6722652052,324.4122652052
2022-01-12,242.53235989746676,229.4906932308,253.4906932308
2022-01-13,238.9430854291667,232.3639187625,244.3639187625
2022-01-14,253.12600723660003,242.3135072366,274.3135072366
2022-01-15,255.75694432576674,244.3402776591,265.3402776591
2022-01-16,252.75077951416674,224.3966128475,265.3966128475
2022-01-17,253.77639180780002,179.9122668078,294.4322668078
2022-01-18,268.8487901664666,244.5071234998,349.3071234998
2022-01-19,264.18917597873343,254.3558426454,291.3558426454
2022-01-20,286.75487171273323,254.3381633794,314.3381633794
2022-01-21,301.2735250643332,285.565191731,315.565191731
2022-01-22,307.87399178823335,279.4781584549,317.4781584549
2022-01-23,307.7837228742333,276.5503895409,320.5503895409
2022-01-24,336.53259954786654,304.2078078812,374.3078078812
2022-01-25,440.2937814138332,364.3354480805,484.3354480805
2022-01-26,396.55450023423333,373.2211669009,414.2211669009
2022-01-27,476.2531757650001,379.585675765,624.586675765
2022-01-28,480.1456598617333,404.1873265284,529.1873265284
2022-01-29,487.77837494716647,420.1534582805,527.1534582805
2022-01-30,451.1065323831335,224.3813240498,545.3813240498
2022-01-31,519.5070344171668,454.2157427505,540.2157427505
2022-02-01,574.8248181967,526.1124431967,622.1124431967
2022-02-02,629.7453056832663,610.5085140166,711.5085140166
2022-02-03,679.9459160624334,606.1139577291,731.2139577291
2022-02-04,634.9409124540663,621.0242457874,640.0242457874
2022-02-05,676.1375909196665,622.055924253,731.055924253
2022-02-06,643.9673738945331,622.2000405612,650.2000405612
2022-02-07,620.8064576584999,411.5767076585,721.5767076585
2022-02-08,556.7624561823663,222.3875395157,712.3875395157
2022-02-09,481.75017888943347,261.7315955561,591.7305955561
2022-02-10,422.8570868794998,351.9195868795,475.4195868795
2022-02-11,364.54991950769994,311.4624195077,391.5624195077
2022-02-12,326.4637281645333,321.0053948312,422.0053948312
2022-02-13,300.9766840085999,253.2684340086,326.2684340086
2022-02-14,347.09112133446666,266.6744546678,380.6744546678
2022-02-15,343.4385166620666,332.0218499954,362.0218499954
2022-02-16,339.26135849643344,291.8447751631,372.8447751631
2022-02-17,316.82779343093335,301.4925850976,371.4945850976
2022-02-18,318.41490281423324,300.8940694809,352.8940694809
2022-02-19,303.3958863246999,289.6458863247,312.6458863247
2022-02-20,251.36732585623335,202.7641175229,277.7641175229
2022-02-21,264.8258966390334,231.6800633057,276.6800633057
2022-02-22,276.1754917522334,231.2089084189,371.7089084189
2022-02-23,251.72753006646664,221.9983633998,290.4983633998
2022-02-24,254.466446345,212.518321345,290.518321345
2022-02-25,242.8548280363333,212.583994703,260.583994703
2022-02-26,251.36889953286664,237.8272328662,255.8272328662
2022-02-27,239.15143661139996,204.5234366114,299.7874366114
2022-02-28,260.89325712273336,186.9974237894,301.9974237894
2022-03-01,264.1718692810667,219.5677026144,347.5677026144
2022-03-02,253.45268028843327,209.2324719551,299.3324719551
2022-03-03,242.44175858603333,201.0509252527,289.0509252527
2022-03-04,188.92083669483327,104.2128783615,225.2128783615
2022-03-05,193.21116679613328,150.9403334628,221.9403334628
2022-03-06,187.84421680820006,146.9379668082,201.2879668082
2022-03-07,221.5070064856,179.2637564856,299.2637564856
2022-03-08,205.75883798273333,180.5130046494,450.9130046494
2022-03-09,204.3280326866333,168.6696993533,451.7696993533
2022-03-10,182.88361685853332,162.8395335252,200.6105335252
2022-03-11,182.36616861463332,164.1328352813,191.0328352813
2022-03-12,184.4405678990333,179.2197345657,189.3197345657
2022-03-13,193.80447658226663,185.5878099156,219.2878099156
2022-03-14,203.03973718550012,164.8772371855,258.8772371855
2022-03-15,223.03543893166673,201.931272265,260.931272265
