fecha,scenario,percentile,pb_prom_kwh
2026-04-01,base,p10,344.5449
2026-04-01,base,p50,389.3947
2026-04-01,base,p90,436.7641
2026-04-01,humedo,mean,433.8667
2026-04-01,humedo,mean,390.4742
2026-04-01,humedo,mean,347.0817
2026-04-01,seco,mean,339.8665
2026-04-01,seco,mean,436.7641
2026-04-01,seco,mean,388.3153
2026-04-02,base,p10,292.8784
2026-04-02,base,p50,355.5624
2026-04-02,base,p90,420.9726
2026-04-02,humedo,mean,291.1184
2026-04-02,humedo,mean,416.6504
2026-04-02,humedo,mean,353.8844
2026-04-02,seco,mean,357.2404
2026-04-02,seco,mean,420.9726
2026-04-02,seco,mean,293.5081
2026-04-03,base,p10,292.9677
2026-04-03,base,p50,354.3636
2026-04-03,base,p90,416.6969
2026-04-03,humedo,mean,414.4434
2026-04-03,humedo,mean,293.2093
2026-04-03,humedo,mean,353.8263
2026-04-03,seco,mean,355.3553
2026-04-03,seco,mean,294.0137
2026-04-03,seco,mean,416.6969
2026-04-04,base,p10,308.4519
2026-04-04,base,p50,382.4112
2026-04-04,base,p90,456.2136
2026-04-04,humedo,mean,381.9500
2026-04-04,humedo,mean,459.7648
2026-04-04,humedo,mean,304.1352
2026-04-04,seco,mean,455.4715
2026-04-04,seco,mean,311.2161
2026-04-04,seco,mean,383.3438
2026-04-05,base,p10,305.7461
2026-04-05,base,p50,382.8001
2026-04-05,base,p90,462.9583
2026-04-05,humedo,mean,306.6903
2026-04-05,humedo,mean,462.9583
2026-04-05,humedo,mean,384.8243
2026-04-05,seco,mean,307.1774
2026-04-05,seco,mean,466.1457
2026-04-05,seco,mean,386.6615
2026-04-06,base,p10,353.2827
2026-04-06,base,p50,444.7338
2026-04-06,base,p90,538.3456
2026-04-06,humedo,mean,356.4275
2026-04-06,humedo,mean,538.3456
2026-04-06,humedo,mean,447.3865
2026-04-06,seco,mean,540.4831
2026-04-06,seco,mean,349.4677
2026-04-06,seco,mean,444.9754
2026-04-07,base,p10,364.9810
2026-04-07,base,p50,488.4702
2026-04-07,base,p90,612.7517
2026-04-07,humedo,mean,488.5370
2026-04-07,humedo,mean,366.2928
2026-04-07,humedo,mean,610.7811
2026-04-07,seco,mean,364.0550
2026-04-07,seco,mean,488.4034
2026-04-07,seco,mean,612.7517
2026-04-08,base,p10,359.9738
2026-04-08,base,p50,468.1820
2026-04-08,base,p90,575.1291
2026-04-08,humedo,mean,575.1291
2026-04-08,humedo,mean,467.7554
2026-04-08,humedo,mean,360.3817
2026-04-08,seco,mean,363.1585
2026-04-08,seco,mean,574.0587
2026-04-08,seco,mean,468.6086
2026-04-09,base,p10,358.9988
2026-04-09,base,p50,465.0761
2026-04-09,base,p90,573.2978
2026-04-09,humedo,mean,360.7523
2026-04-09,humedo,mean,467.0251
2026-04-09,humedo,mean,573.2978
2026-04-09,seco,mean,359.4311
2026-04-09,seco,mean,566.8233
2026-04-09,seco,mean,463.1272
2026-04-10,base,p10,355.8397
2026-04-10,base,p50,450.5259
2026-04-10,base,p90,544.8074
2026-04-10,humedo,mean,355.7536
2026-04-10,humedo,mean,450.9798
2026-04-10,humedo,mean,546.2060
2026-04-10,seco,mean,355.8612
2026-04-10,seco,mean,544.2828
2026-04-10,seco,mean,450.0720
2026-04-11,base,p10,361.1816
2026-04-11,base,p50,454.4542
2026-04-11,base,p90,548.1875
2026-04-11,humedo,mean,362.7230
2026-04-11,humedo,mean,454.3742
2026-04-11,humedo,mean,546.0253
2026-04-11,seco,mean,455.7223
2026-04-11,seco,mean,550.1879
2026-04-11,seco,mean,361.2567
2026-04-12,base,p10,308.3867
2026-04-12,base,p50,392.3732
2026-04-12,base,p90,477.4092
2026-04-12,humedo,mean,393.9658
2026-04-12,humedo,mean,479.3373
2026-04-12,humedo,mean,308.5942
2026-04-12,seco,mean,391.1005
2026-04-12,seco,mean,307.5567
2026-04-12,seco,mean,474.6444
2026-04-13,base,p10,385.6559
2026-04-13,base,p50,471.2675
2026-04-13,base,p90,556.4239
2026-04-13,humedo,mean,563.5248
2026-04-13,humedo,mean,473.9661
2026-04-13,humedo,mean,384.4075
2026-04-13,seco,mean,387.1508
2026-04-13,seco,mean,471.7874
2026-04-13,seco,mean,556.4239
2026-04-14,base,p10,395.6112
2026-04-14,base,p50,480.2168
2026-04-14,base,p90,564.6165
2026-04-14,humedo,mean,564.6165
2026-04-14,humedo,mean,393.9489
2026-04-14,humedo,mean,479.2827
2026-04-14,seco,mean,564.2797
2026-04-14,seco,mean,398.0221
2026-04-14,seco,mean,481.1509
2026-04-15,base,p10,415.2401
2026-04-15,base,p50,488.1195
2026-04-15,base,p90,561.9002
2026-04-15,humedo,mean,488.7281
2026-04-15,humedo,mean,415.5559
2026-04-15,humedo,mean,561.9002
2026-04-15,seco,mean,561.0454
2026-04-15,seco,mean,413.9766
2026-04-15,seco,mean,487.5110
2026-04-16,base,p10,426.1190
2026-04-16,base,p50,501.2371
2026-04-16,base,p90,577.7966
2026-04-16,humedo,mean,573.9376
2026-04-16,humedo,mean,426.2744
2026-04-16,humedo,mean,500.1060
2026-04-16,seco,mean,577.7966
2026-04-16,seco,mean,426.9399
2026-04-16,seco,mean,502.3683
2026-04-17,base,p10,443.3957
2026-04-17,base,p50,507.7886
2026-04-17,base,p90,574.4154
2026-04-17,humedo,mean,574.4154
2026-04-17,humedo,mean,508.9979
2026-04-17,humedo,mean,443.5805
2026-04-17,seco,mean,510.7406
2026-04-17,seco,mean,576.8154
2026-04-17,seco,mean,444.6658
2026-04-18,base,p10,386.9955
2026-04-18,base,p50,454.9733
2026-04-18,base,p90,525.1767
2026-04-18,humedo,mean,453.5054
